,Nivel,Area,DESCRIPCIÓN PROGRAMA,TIPO DE PROMO,Antigüedad,Duracion,INICIOS,Lanzamiento,VA EJECUTIVAS?,VA HIBRIDAS?,VA UTEL JOVEN?,CLAVE PROGRAMA MX
45,Maestria,Ciencias Sociales y Humanidades,MAESTRÍA EN CONCIENCIA PLENA APLICADA,Pricing Alto,Antiguos,,Mensual,,SI,SI,,UTLMACPFED
46,Maestria,Salud y Psicología,MAESTRÍA EN GESTIÓN DIRECTIVA DE INSTITUCIONES EN SALUD,Pricing Alto,Antiguos,,Mensual,,SI,SI,,UTLMAGSFED
47,Maestria,Derecho y Justicia Digital,MAESTRÍA EN DERECHO PROCESAL Y JUICIOS ORALES,Pricing Alto,Antiguos,,Mensual,,SI,SI,,UTLMADJFED
48,Maestria,Ciencias Sociales y Humanidades,MAESTRÍA EN TECNOLOGÍA EDUCATIVA,Pricing bajo,Antiguos,,Mensual,,SI,SI,,UTLMATDFED
49,Maestria,Ingeniería y Tecnología,MAESTRÍA EN CIENCIA DE DATOS PARA NEGOCIOS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMACGFED
50,Maestria,"Negocios, Innovación y Liderazgo",MAESTRÍA EN ADMINISTRACIÓN PÚBLICA,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAABFED
51,Maestria,Ingeniería y Soluciones,MAESTRÍA EN INGENIERÍA Y TECNOLOGÍA AMBIENTAL,Pricing bajo,Antiguos,,Mensual,,SI,SI,,UTLMATAFED
52,Maestria,Capital Humano y Transformación Organizacional,MAESTRÍA EN ADMINISTRACIÓN DE RECURSOS HUMANOS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAARFED
53,Maestria,Económico-Administrativa,MAESTRÍA EN DIRECCIÓN DE VENTAS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMADVFED
54,Maestria,Económico-Administrativa,MAESTRÍA EN MERCADOTECNIA DIGITAL Y COMERCIO ELECTRÓNICO,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAMDFED
55,Maestria,Derecho y Justicia Digital,MAESTRÍA EN DERECHO PROCESAL PENAL,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMADRFED
56,Maestria,Derecho y Justicia Digital,MAESTRÍA EN DERECHOS HUMANOS,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMADHFED
57,Maestria,Económico-Administrativa,MAESTRÍA EN ADMINISTRACIÓN DE INSTITUCIONES EDUCATIVAS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAAIFED
58,Maestria,Capital Humano y Transformación Organizacional,MAESTRÍA EN COACHING INTEGRAL Y ORGANIZACIONAL,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMACIFED
59,Maestria,"Negocios, Innovación y Liderazgo",MAESTRÍA EN DIRECCIÓN DE PROYECTOS DE INNOVACIÓN,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAPIFED
60,Maestria,Económico-Administrativa,MAESTRÍA EN ADMINISTRACIÓN EN MERCADOTECNIA ESTRATÉGICA,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAMEFED
61,Maestria,Hospitalidad y Turismo,MAESTRÍA EN DIRECCIÓN DE NEGOCIOS DE ALIMENTOS Y BEBIDAS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMANAFED
62,Maestria,Salud y Psicología,MAESTRÍA EN PSICOLOGÍA TRANSPERSONAL,UNAG,Antiguos,,Mensual,,SI,SI,,UNAMAPTESG
63,Maestria,"Negocios, Innovación y Liderazgo",MAESTRÍA EN ADMINISTRACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAATFED
64,Maestria,Económico-Administrativa,MAESTRÍA EN FINANZAS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMAFNFED
65,Maestria,Derecho y Justicia Digital,MAESTRÍA EN DERECHO PROCESAL CONSTITUCIONAL,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMADCFED
66,Maestria,Ingeniería y Tecnología,MAESTRÍA EN CIBERSEGURIDAD,Pricing medio,Nuevos programas,,Mensual,Agosto 2025 (Bloque 0),SI,SI,,UTLMACBFED
67,Maestria,"Negocios, Innovación y Liderazgo",MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS DEPORTIVOS,Pricing medio,Antiguos,,Mensual,,SI,SI,,UTLMANEFED
