,,,,,,4,,,,,,,,,,,,,
Pais,Nivel,Jornada,Zona,TIPO DE PROMO,ANTIGÜEDAD LEAD,1er pago,2do pago,3er pago,4to pago,5to pago,Nombre paquete,Nombre escalonado,Posicionamiento,Precio de lista,Nombre paquete ejecutivo,Nombre escalonado ejecutivo,Nombre paquete Hibrido,Nombre escalonado Hibrido,Nombre escalonado con titulo
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,Hotlead,128300,240000,240000,240000,240000,ARG3.HOTL.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,RMKT,95000,184400,184400,184400,184400,ARG3.RMKT.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,RMKT,105900,195300,195300,195300,195300,ARG3.RMKT.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,RMKT,113900,211200,211200,211200,211200,ARG3.RMKT.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,SUPER PROMO,99800,193900,193900,193900,193900,ARG3.SUPE.TIT.LI.COM.,,,335,,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,SUPER PROMO,110700,204800,204800,204800,204800,ARG3.SUPE.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Pricing Buenos Aires / Fijo,SUPER PROMO,118600,220900,220900,220900,220900,ARG3.SUPE.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,Hotlead,104200,202800,202800,202800,202800,ARG3.5%.HOTL.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,Hotlead,115100,213700,213700,213700,213700,ARG3.5%.HOTL.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,Hotlead,122700,228900,228900,228900,228900,ARG3.5%.HOTL.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,RMKT,90500,175500,175500,175500,175500,ARG3.5%.RMKT.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,RMKT,101400,186400,186400,186400,186400,ARG3.5%.RMKT.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,RMKT,109000,201600,201600,201600,201600,ARG3.5%.RMKT.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,SUPER PROMO,95100,184600,184600,184600,184600,ARG3.5%.SUPE.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,SUPER PROMO,106000,195500,195500,195500,195500,ARG3.5%.SUPE.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales / Todos los programas / Fijo,SUPER PROMO,113600,210600,210600,210600,210600,ARG3.5%.SUPE.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,Hotlead,99300,193000,193000,193000,193000,ARG3.10%.HOTL.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,Hotlead,110200,203900,203900,203900,203900,ARG3.10%.HOTL.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,Hotlead,117400,218400,218400,218400,218400,ARG3.10%.HOTL.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,RMKT,86300,167000,167000,167000,167000,ARG3.10%.RMKT.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,RMKT,97200,177900,177900,177900,177900,ARG3.10%.RMKT.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,RMKT,104400,192300,192300,192300,192300,ARG3.10%.RMKT.TIT.EQUSA.PLATZI.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,SUPER PROMO,90600,175700,175700,175700,175700,ARG3.10%.SUPE.TIT.LI.COM.,,,"334,6",,,,,
Argentina,Licenciatura,Completa,Centro,Princing Provincia o Programas Especiales /Solo programas especiales/ Fijo,SUPER PROMO,101500,186600,186600,186600,186600,ARG3.10%.SUPE.TIT.PLATZI.LI.COM.,,,"334,6",,,,,
